"Type","Fleet","Francis","Obs.","Mean N input","Mean N adj.","Sum N adj."
"Length","Commercial",0.055,53,575.5,31.7,1681.8
"Length","At-Sea-Hake",0.161,40,292,46.9,1877.6
"Length","Recreational",0.02,41,1576.5,30.9,1266.4
"Length","H&L_survey",0.054,14,112,6,84.4
"Length","Triennial",0.074,9,114,8.4,75.6
"Length","WCGBTS",0.094,21,103.3,9.7,203.9
"Age","Commercial",0.246,53,480,118,6255.9
"Age","At-Sea-Hake",0.134,2,255.5,34.3,68.6
"Age","Recreational",0.018,15,613.5,11.3,170.1
"Age","Triennial",0.144,9,66.8,9.6,86.7
"CAAL","WCGBTS",0.143,520,15,2.1,1110.6
