"year","CA n_fish","CA n_trip","OR n_fish","OR n_trip","WA n_fish","WA n_trip","input_n"
1972,0,0,611,8,785,4,14.12
1972,0,0,611,8,785,4,84.72
1973,0,0,150,2,492,3,7.06
1973,0,0,150,2,492,3,35.3
1974,0,0,167,2,349,2,28.24
1975,0,0,0,0,458,3,21.18
1976,0,0,500,5,2774,14,134.14
1977,0,0,1049,11,778,3,98.84
1978,132,21,484,6,1876,9,254.16
1979,41,11,1100,11,1599,16,268.28
1980,62,22,798,8,3700,37,473.02
1981,61,14,1007,10,3900,39,444.78
1982,184,48,1800,18,3496,35,713.06
1983,278,55,299,3,2366,25,489.134
1984,704,47,1298,13,3200,33,656.58
1985,261,22,2652,26,3500,35,585.98
1986,181,24,1747,17,2992,30,501.26
1987,145,17,1891,37,2046,40,656.316
1988,37,7,1670,34,1650,33,522.44
1989,230,17,2055,42,1650,33,635.03
1990,192,16,1802,36,1874,38,623.784
1991,265,12,1296,39,1999,38,580.28
1992,213,12,2490,71,1700,34,96.312
1992,213,12,2490,71,1700,34,724.614
1993,92,5,2022,54,1800,36,36.322
1993,92,5,2022,54,1800,36,635.132
1994,140,6,2641,70,3562,53,120.566
1994,140,6,2641,70,3562,53,910.74
1995,248,8,2242,61,3505,54,43.944
1995,248,8,2242,61,3505,54,868.38
1996,326,13,2259,57,3148,48,77.92
1996,326,13,2259,57,3148,48,833.08
1997,94,4,4092,110,2490,43,46.772
1997,94,4,4092,110,2490,43,1078.288
1998,156,6,3235,85,2104,45,74.894
1998,156,6,3235,85,2104,45,894.31
1999,190,7,3577,99,2194,47,39.356
1999,190,7,3577,99,2194,47,975.618
2000,71,3,3002,90,2282,46,877.99
2001,177,7,2832,91,1995,40,828.552
2002,96,6,1536,45,1660,35,540.296
2003,37,2,701,21,1626,42,391.232
2004,64,4,1341,36,1692,43,510.386
2005,66,5,916,25,1173,31,358.39
2006,93,11,1236,35,899,22,375.464
2007,101,9,1189,70,1610,43,168.546
2007,101,9,1189,70,1610,43,522.2
2008,41,8,584,39,1499,27,55.334
2008,41,8,584,39,1499,27,367.112
2009,19,2,855,67,942,21,89.762
2009,19,2,855,67,942,21,340.608
2010,2,1,1618,83,880,18,91.78
2010,2,1,1618,83,880,18,447
2011,58,3,1816,115,980,20,73.962
2011,58,3,1816,115,980,20,531.852
2012,41,7,1914,107,1531,28,132.158
2012,41,7,1914,107,1531,28,623.068
2013,12,5,1263,111,975,15,87.586
2013,12,5,1263,111,975,15,441.5
2014,111,5,1893,167,1158,16,59.432
2014,111,5,1893,167,1158,16,624.356
2015,117,6,2391,148,1058,22,135.054
2015,117,6,2391,148,1058,22,668.108
2016,145,8,3141,150,1371,30,49.812
2016,145,8,3141,150,1371,30,830.666
2017,267,14,3037,185,2470,70,30.422
2017,267,14,3037,185,2470,70,1065.812
2018,276,16,2948,194,1651,70,952.75
2019,277,17,2782,199,1146,72,868.29
2020,168,12,1926,122,549,24,522.734
2021,632,32,1815,130,1157,45,704.352
2022,184,15,2442,174,1467,61,814.834
2023,302,22,2143,141,1410,57,751.99
2024,471,21,2053,129,1864,58,813.544
