"Label","Base","Breakpoint M","No sex selectivity","Sex selectivity all fleets","Single M","Time-vary weight-length","Hybrid F method","Nonlinear WCGBTS Q"
"TOTAL_like",1059.52,1116.46,1077.7,1032.16,1119.26,1060,1053.57,1056.37
"Survey_like",14.0967,14.0962,13.9302,14.3045,14.487,14.5337,13.5787,10.3326
"Length_comp_like",307.185,330.656,320.856,305.977,332.187,307.208,306.548,306.605
"Age_comp_like",752.288,783.979,756.819,725.739,785.93,752.341,748.164,753.595
"Recruitment_like",-15.1378,-14.3859,-14.9771,-14.9594,-14.2329,-15.1649,-15.7661,-15.2299
"Forecast_Recruitment_like",0.841744,0.821127,0.839652,0.825735,0.813714,0.842338,0.849967,0.834215
"Parm_priors_like",0.244238,1.29641,0.228629,0.269255,0.0744094,0.240982,0.195284,0.230828
"Recr_Virgin_millions",36.6299,11.3391,36.6132,36.1521,18.35,36.4827,33.699,35.9067
"SR_LN(R0)",10.5086,9.33601,10.5082,10.4955,9.81739,10.5046,10.4252,10.4887
"NatM_uniform_Fem_GP_1",0.156713,NA,0.155614,0.158419,0.111963,0.156486,0.153161,0.155771
"NatM_uniform_Mal_GP_1",-0.14268,NA,-0.135342,-0.181832,0,-0.142695,-0.145766,-0.14257
"NatM_break_1_Fem_GP_1",NA,0.0593576,NA,NA,NA,NA,NA,NA
"NatM_break_2_Fem_GP_1",NA,0.115394,NA,NA,NA,NA,NA,NA
"NatM_break_1_Mal_GP_1",NA,0,NA,NA,NA,NA,NA,NA
"NatM_break_2_Mal_GP_1",NA,0,NA,NA,NA,NA,NA,NA
"L_at_Amax_Fem_GP_1",52.9485,52.7386,53.0353,52.8643,52.7644,52.9484,52.9681,52.9431
"L_at_Amax_Mal_GP_1",-0.140328,-0.126688,-0.138958,-0.129327,-0.127263,-0.140307,-0.141259,-0.140192
"VonBert_K_Fem_GP_1",0.143084,0.145777,0.141637,0.145197,0.144854,0.143092,0.142425,0.143219
"VonBert_K_Mal_GP_1",0.350937,0.337412,0.344404,0.269712,0.341846,0.35091,0.354506,0.350767
"SmryBio_unfished",134984,113567,135920,136122,115239,134360,130335,133990
"SSB_Virgin",14.5951,17.4947,14.9165,14.0372,17.4294,14.597,14.3273,14.5557
"SSB_2025",9.13025,6.59741,9.49853,8.31381,6.16812,9.12727,8.61756,9.01182
"Bratio_2025",0.625568,0.377109,0.63678,0.592272,0.353892,0.625284,0.601477,0.619126
"SPRratio_2024",0.637895,1.02719,0.625488,0.683741,1.07286,0.644949,0.675261,0.647207
"LnQ_base_WCGBTS(6)",-1.1118,-0.744547,-1.14006,-1.06748,-0.672422,-1.11096,-1.02155,-27.4965
