"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",2003,15073.8842947079,7652.75662623087,29691.5214775557,9.62071900855519,0.345872581686029,"index"
"Coastwide",2004,11626.244368098,5360.26959215567,25216.9328021375,9.36102026714396,0.395033135000024,"index"
"Coastwide",2005,19653.3311681415,11079.1860501714,34862.9785848455,9.88600212802591,0.292443451063424,"index"
"Coastwide",2006,8979.93537990966,4488.99736838015,17963.7528850795,9.1027479652692,0.35376329269009,"index"
"Coastwide",2007,14440.0351685596,8040.74422278818,25932.2532705727,9.57775984793967,0.298721267148448,"index"
"Coastwide",2008,9447.71709335481,4855.61592832187,18382.7056327574,9.15352841388049,0.339617044859135,"index"
"Coastwide",2009,8752.20482016477,4603.68412545419,16639.0845085528,9.07706092705757,0.327786006965847,"index"
"Coastwide",2010,19134.7062970582,10605.6128808874,34522.9445187938,9.85925904875106,0.301087365066673,"index"
"Coastwide",2011,16936.8704631473,9539.79983906783,30069.5597312933,9.73724820870384,0.292872945747576,"index"
"Coastwide",2012,17639.4310730112,9607.91355842767,32384.7135683882,9.7778920769438,0.309980037822031,"index"
"Coastwide",2013,9742.9178566688,4150.56758497166,22870.2331472682,9.18429592637972,0.43536287491731,"index"
"Coastwide",2014,34382.6733522633,20275.9952717795,58303.8322411623,10.445308034851,0.269451414728786,"index"
"Coastwide",2015,20257.4193684084,12101.8333797881,33909.1629003037,9.91627639399416,0.262843684353372,"index"
"Coastwide",2016,46629.0716191203,29953.6244228278,72587.887507998,10.749979480085,0.225807143175555,"index"
"Coastwide",2017,39816.3648070853,24894.2770584199,63683.0265337911,10.5920332828202,0.239616680459296,"index"
"Coastwide",2018,27105.9896974308,15597.6899454065,47105.3521418153,10.2075100044914,0.281960233453546,"index"
"Coastwide",2019,36416.3102570401,18746.6108860828,70740.661381173,10.5027720372498,0.338783661418686,"index"
"Coastwide",2021,14648.287702872,6916.83461939294,31021.7526416647,9.59207872726414,0.382846426855355,"index"
