"Year","Washington ages","Washington","Oregon","California"
1980,0,90,0,12
1981,0,26,0,2
1982,0,16,0,20
1983,0,3,0,25
1984,0,9,0,33
1985,0,11,0,76
1986,0,0,0,45
1987,0,14,0,6
1989,0,0,0,4
1993,0,0,384,20
1994,0,0,592,47
1995,0,13,557,10
1996,0,6,284,18
1997,100,137,262,34
1998,0,112,476,5
1999,0,5,688,0
2000,0,2,435,1
2001,0,2,787,9
2002,0,195,1639,1
2003,0,800,1550,6
2004,0,675,1233,26
2005,0,869,1754,29
2006,18,362,1498,29
2007,0,313,1583,77
2008,0,189,1896,37
2009,2,464,2525,69
2010,14,218,2318,49
2011,15,391,2264,45
2012,0,228,2673,125
2013,0,348,2121,114
2014,527,680,1822,57
2015,593,683,1869,53
2016,832,928,800,24
2017,1144,1317,1227,74
2018,637,903,2556,116
2019,1299,1798,2787,103
2020,881,891,129,0
2021,685,826,1827,74
2022,610,669,1825,52
2023,1239,1534,1675,144
2024,609,1279,1868,56
